"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
82,2.90470441825442,0.125529785315588,-0.339622015326784,"0","0","0","1","1","1","1","1","1","1",0.50958904109589
84,-0.763219520868955,-0.580072202388783,-0.491340812620689,"0","0","0","1","1","1","0","0","1","1",0.202739726027397
86,-0.487910619386775,-1.32487430052117,-0.477115397197457,"0","0","0","0","1","1","0","0","1","1",1.21917808219178
87,-0.668179699644594,0.125529785315588,0.0265212104466299,"0","0","0","0","1","1","1","0","1","1",0.556164383561644
88,-0.0488879613439238,-1.28567419009315,-0.321223811379404,"0","0","0","1","1","1","0","1","0","1",0.613698630136986
90,-0.690866624711055,-0.815272864956907,-0.510883372208781,"0","0","0","0","1","1","0","0","1","1",0.583561643835616
95,0.81137571077077,1.06633243558808,0.0503819739165302,"0","0","0","0","1","1","1","0","0","1",0.972602739726027
98,-0.674311301013908,-0.658472423244824,-0.447659303661086,"0","0","1","1","1","1","1","1","0","1",0.249315068493151
99,0.264436868628,0.595931110451835,0.318616407136983,"0","0","0","0","1","1","1","1","1","1",0.26027397260274
105,-0.295991496527261,-0.658472423244824,1.24293964449058,"0","0","0","0","1","1","1","1","0","1",0.326027397260274
108,0.0394070983741917,1.53673376072433,-0.510883372208781,"0","0","0","0","1","1","1","0","1","1",0.0438356164383562
109,-0.4492815307601,0.909531993876,-0.327482994165626,"0","0","0","0","1","1","1","1","1","1",0.583561643835616
110,-0.692092944984917,1.06633243558808,-0.447659303661086,"0","0","0","0","1","1","1","0","0","1",0.295890410958904
112,0.526256247097689,0.478330779167774,-0.113697648428327,"0","0","0","1","1","1","1","1","1","1",1.85753424657534
114,-0.316225781045995,-0.344871539820659,-0.696319565259172,"1","0","1","0","1","1","1","0","0","1",0.723287671232877
116,-0.239580763929576,0.909531993876,14.3467727364996,"0","0","0","0","0","1","1","0","1","1",0.591780821917808
119,-0.533284469519696,-0.344871539820659,-0.634163983469932,"0","0","0","0","1","1","0","0","1","1",0.876712328767123
120,0.0112017320753492,-1.05047352752503,-0.550727180207539,"1","0","0","0","1","1","0","0","0","1",0.849315068493151
121,0.217836698221217,-0.344871539820659,-0.522200480478819,"1","0","1","0","1","1","0","0","0","1",1.95068493150685
124,-0.291699375568741,-0.266471318964618,-0.131551605736318,"0","0","1","0","1","1","1","1","1","1",0.693150684931507
125,0.195149773154756,0.125529785315588,-0.416059914200948,"0","0","0","0","1","1","1","0","0","1",1.09315068493151
127,0.51767200518065,0.909531993876,-0.251045095291462,"0","0","0","1","0","1","0","0","0","1",1.68767123287671
128,0.474750795595455,0.909531993876,-0.251045095291462,"0","0","0","1","0","1","0","0","0","1",1.68767123287671
132,-0.317452101319858,0.595931110451835,-0.352823200839543,"0","0","0","0","1","1","1","0","1","1",1.46849315068493
133,-0.224864920643223,-0.972073306668989,-0.67716267248922,"0","0","1","0","1","1","1","0","1","1",0.904109589041096
136,-0.162322586676225,-0.344871539820659,-0.370917929257893,"0","0","1","1","1","1","0","1","1","1",0.282191780821918
138,-0.479939537606668,-0.658472423244824,0.0454884310109386,"0","1","1","0","1","1","1","0","0","1",1.03561643835616
143,-0.738693115391701,0.125529785315588,-0.295921539146617,"0","0","0","0","1","1","1","0","0","1",0.29041095890411
144,0.968957865962129,-0.344871539820659,-0.534282599978283,"0","0","0","0","1","1","1","0","0","1",0.863013698630137
145,0.577761698599923,0.125529785315588,-0.241729480391449,"0","0","0","0","1","1","1","0","1","1",1.24383561643836
147,-0.0243615558666695,0.125529785315588,-0.231527825330789,"0","0","0","0","1","1","1","0","1","1",0.621917808219178
148,0.545264211342561,-0.344871539820659,0.288268854234089,"0","0","1","1","1","1","1","1","1","1",0.961643835616438
149,-0.746664197171808,-0.658472423244824,-0.481686497353455,"1","0","0","0","1","1","0","0","0","1",0.063013698630137
151,-0.52592654787652,-0.266471318964618,-0.00192962039983299,"0","0","1","1","0","0","1","0","1","1",0.619178082191781
152,-0.406360321174905,0.125529785315588,0.365329961783937,"0","0","0","0","1","1","1","0","1","1",0.30958904109589
153,4.79752976096152,0.125529785315588,-0.056934560036328,"0","0","0","0","1","1","1","0","0","1",1.12328767123288
157,-0.551679273627637,0.125529785315588,5.81152348256076,"0","0","0","0","1","1","1","0","0","1",0.605479452054794
159,-0.78835908648314,-1.05047352752503,-0.333609406407898,"1","0","1","0","1","1","0","0","0","1",1.22739726027397
